;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Дата отчета: 13.02.2026 0:00:00;;;;;
;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;;;;
;;;;
Блок опорный д/йоги двухцветный /HKYB6011/ (06433), шт;;;;;1,000;;360,00
Бо-ки BoyBo (тв.по) (00132), шт;;;;;1,000;798,40;1 360,00
Бо-ки BoyBo new  (01290), шт;;;;;1,000;;1 600,00
Бойлы в ассортим., шт;;;;;26,000;312,00;1 560,00
"Боки на мяг. ""Атака"" Креп"" 39(00174д), шт";;;;;2,000;;5 200,00
Боксерки Green Hill, шт;;;;;1,000;;
Болт выноса руля (длинный), шт;;;;;3,000;;150,00
Болт выноса руля (средний), шт;;;;;1,000;;50,00
Болт для заднего суппорта, шт;;;;;14,000;70,00;210,00
Болт для крепления ротора 6шт , шт;;;;;5,000;;350,00
Болт каретки педального узла M8x18мм, под ключ 14 мм, под квадратKL-B07 / 3022611-2, шт;;;;;4,000;;120,00
Болт крепления тормозного калиппера, 5мм, БКТК, шт;;;;;10,000;1 310,00;200,00
Болт с гайкой для выноса руля (под конус) ZVX112, шт;;;;;2,000;;200,00
Болты для выноса руля, МТВ, нержав.сталь, Stem Bolts, М5х18, 6шт/уп, цвета в ассортим., шт;;;;;1,000;159,00;600,00
Браслет выживания (нож,огниво,компас) 2021 (4013), шт;;;;;3,000;;750,00
Браслет желтый со светоотражающей полосой и карманом, шт;;;;;3,000;37,50;810,00
"Брелок  ""Fashion"" (А) мет+кож, шт";;;;;1,000;45,00;200,00
Брелок (кеды), шт;;;;;1,000;;90,00
Брелок (кроссовки футб.), шт;;;;;2,000;;
Брелок (стразы) змея, шарик ,сердце A, шт;;;;;2,000;;640,00
Брелок Змея (силик), шт;;;;;17,000;952,00;680,00
Брелок Кимоно каратэ, шт;;;;;1,000;;
Брелок метал 2в1 (А), шт;;;;;19,000;;3 230,00
Брелок металл (А) (одиночн.), шт;;;;;2,000;78,00;180,00
Брелок Патриот (металл), шт;;;;;1,000;20,00;160,00
Брелок символ года Лошадка KE-111, шт;;;;;1,000;45,00;230,00
