;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;s;;;
;;;;;;
, ;;;;;1,000;;
"FDH-25TR-10 Пластик для малого и том барабана 10"", прозрачный, Foix, шт";;;;;2,000;252,00;460,00
FDS2 Mini Distortion Педаль эффектов, Kokko, шт;;;;;1,000;1 590,00;2 950,00
Feron JCD9 JCD 230V 40W G9 лампа галогенная 1/100/1000, шт;;;;;11,000;597,85;990,00
FFG-3860C-SB Акустическая гитара, с вырезом, санберст, Foix, шт;;;;;1,000;1 874,00;3 500,00
FL-40 Стойка для гитары, Flanger, шт;;;;;2,000;606,00;1 040,00
FLG-001 Super Silent Кабель инструментальный, 3м, Flanger, шт;;;;;2,000;976,00;1 660,00
FLG-002 Super Silent Кабель инструментальный, прямой/угловой, 3м, Flanger, шт;;;;;3,000;1 464,00;2 490,00
"FLT-DH-T-08 Пластик для барабана 8"", прозрачный, матовый, Fleet, шт";;;;;1,000;72,00;150,00
"FLT-DH-T-14 Пластик для барабана 14"", прозрачный, матовый, Fleet, шт";;;;;4,000;920,00;1 560,00
FLT-KTYG-20 Детский маршевый барабан оранжевый, с палочками. Lutner, шт;;;;;1,000;509,00;890,00
FLT-MS1bl Пюпитр, синий, складной, с чехлом, максимальная высота полки 130см. Fleet, шт;;;;;1,000;473,00;850,00
FLT-MS1g Пюпитр, зеленый, складной, с чехлом,  максимальная высота полки 130см. Fleet, шт;;;;;1,000;473,00;850,00
FMмодулятор Ritmix FMT-705, шт;;;;;1,000;330,00;560,00
FMмодулятор TDS TS-CAF14 Bluetooth, шт;;;;;1,000;300,00;580,00
FMмодулятор TDS TS-CAF15 Bluetooth, шт;;;;;1,000;320,00;600,00
FMмодулятор TDS TS-CAF18 Bluetooth, шт;;;;;1,000;430,00;730,00
FMмодулятор TDS TS-CAF22 Bluetooth, шт;;;;;1,000;360,00;650,00
FPL 11W 2G7 6400K (Ком-ная люм.лампа, 11Вт, для KD-008С, KD-017) Camelion, шт;;;;;2,000;322,22;550,00
FPL 9W 2G7 6400K (Ком-ная люм.лампа, 9Вт, для KD-021) Camelion, шт;;;;;5,000;604,30;1 000,00
FR19SA12 Sonore Трости для саксофона альт № 2 , FedotovReeds, шт;;;;;1,000;282,80;480,00
FR19SA13 Sonore Трости для саксофона альт № 2,5 , FedotovReeds, шт;;;;;5,000;1 250,00;2 250,00
FTD-811F-BL Глюкофон, 20см, Фа мажор, синий, Foix, шт;;;;;1,000;3 000,00;5 100,00
G-B2 Медиатор толщиной 0,46-1,21мм ,  DADI, шт;;;;;21,000;138,60;420,00
GA103-10 Кабель инструментальный, 100м, черный, Soundking, шт;;;;;100,000;2 479,00;6 000,00
GA109 Кабель инструментальный, 100м, черный, бесшумный, Soundking, шт;;;;;2,000;68,18;120,00
GABR Подставка для струн (бридж) для акустической гитары, отверстия под фиксаторы струн, материал - , шт;;;;;1,000;206,55;600,00
GBP-Black Фиксатор струн, цинк, черный, набор,  Moge, шт;;;;;1,000;187,00;320,00
GFC-2 Силиконовые напальчники для игры на гитаре (защита пальцев), размер S, Мозеръ, шт;;;;;1,000;251,00;425,00
GGC-06-SL Каподастр, серебристый, Guitto, шт;;;;;1,000;154,00;260,00
GGP-02 Звукосниматель для акустической гитары, резонансный, трансакустический, Guitto, шт;;;;;1,000;3 322,00;4 980,00
GKS-01 Стойка для клавишных инструментов, двойная, Guitto, шт;;;;;1,000;1 360,00;2 300,00
Go-Sound-12A Акустическая система активная, 880Вт, Soundsation, шт;;;;;1,000;11 949,00;19 500,00
GRG1FM03.0 Greyhound Кабель микрофонный XLR, 3м, Klotz, шт;;;;;1,000;1 284,00;2 500,00
GT-5-BELCAT Звукосниматель для акустической гитары, с регулятором громкости, Belcat, шт;;;;;1,000;451,00;800,00
H224, Шнур 3,5 штек - 3,5 штекер (Кабель Аудио Premium S249 1800mm (20pcs)), шт;;;;;1,000;120,00;220,00
H228, Шнур 3,5 штек 4х - 3,5 штекер 4х (Кабель Аудио Premium S253 1800mm (20pcs)), шт;;;;;4,000;560,00;960,00
"HD13A Бубен ручной 8"", кожа овцы. DADI, шт";;;;;1,000;421,00;1 080,00
HDMI Switch 3T01 (3вх.-1вых.) 1080, шт;;;;;1,000;380,00;670,00
HDMI Switcher 3T01 (3вх.-1вых.) H55, шт;;;;;1,000;260,00;450,00
HE001-CR Крепление ремня, хром, 2 шт, Paxphil, шт;;;;;7,000;546,00;980,00
HE005-CR Крепление ремня, хром, 2 шт, Paxphil, шт;;;;;2,000;218,00;380,00
HE360 Увлажнитель для гитар, Dunlop, шт;;;;;1,000;371,00;770,00
HE360-Alctron Наушники закрытые, Alctron, шт;;;;;1,000;2 652,00;4 400,00
HEB700BK Бас-гитара Precision Bass, мензура 846мм, корпус - дерево, гриф - клен, накладка грифа - па, шт;;;;;1,000;8 867,25;14 550,00
HH-2002 Медиаторы , Cascha, шт;;;;;6,000;194,46;360,00
HH-2032 Барабанные палочки 5A, клен, 1 пара, деревянный наконечник, Cascha, шт;;;;;1,000;221,00;390,00
HH-2131 Ершик для блокфлейты, Cascha, шт;;;;;1,000;134,00;250,00
HH-2294 Медиаторы  толщина 0.71мм, Cascha, шт;;;;;20,000;523,40;1 000,00
"HY-A011B Прищепка сувенирная ""Рояль"", Rin, шт";;;;;1,000;78,00;230,00
HY-B013 Брелок сувенирный синтезатор, дерево, Rin, шт;;;;;1,000;44,00;150,00
"HY-F010 Статуэтка сувенирная ""Аккордеонист"", Rin, шт";;;;;1,000;298,00;520,00
"I-3G Гитарный мини комбоусилитель, 3Вт, динамик 3"", Belcat, шт";;;;;1,000;1 414,00;2 400,00
"I-5G Гитарный мини комбоусилитель, 5Вт, динамик 5"", Belcat, шт";;;;;1,000;3 059,00;4 990,00
IC124-XFJM-1m Кабель инструментальный, XLRF-6.35мм моно, 1м, SHNOOR, шт;;;;;5,000;2 680,00;4 600,00
J-02-CR-6L Колки для гитары 6л, хром, Metallor, шт;;;;;1,000;949,00;1 590,00
"J-10D Держатель настенный для гитары, ""крюк"", Foix, шт";;;;;2,000;250,00;500,00
J-31 Напольная гитарная стойка, Foix, шт;;;;;2,000;1 194,00;2 100,00
J-32 Напольная стойка для двух гитар, складная, Foix, шт;;;;;1,000;1 194,00;2 050,00
J-46 Подставка под ногу гитариста, Foix, шт;;;;;3,000;657,00;1 260,00
JB-Three-YR JB Series Наушники внутриканальные, желтo-красные, Fischer Audio, шт;;;;;1,000;125,00;380,00
JET JF-155 OP - акустическая гитара, фолк, верхняя дека - ель, корпус - красное дерево, цвет натурал, шт;;;;;1,000;10 310,00;16 500,00
JF-03-Crunch-Distortion Педаль эффектов, Joyo, шт;;;;;1,000;2 611,00;4 350,00
JF-15-California-Sound Педаль эффектов, Joyo, шт;;;;;1,000;2 858,00;4 570,00
JF-39-Deluxe-Crunch Педаль эффектов, Joyo, шт;;;;;1,000;2 838,00;4 820,00
JSR6115 Juno Трости для саксофона альт №1.5 (10шт), Vandoren, шт;;;;;9,000;3 094,20;5 310,00
JSR612 Juno Трости для саксофона альт №2 , Vandoren, шт;;;;;4,000;1 166,40;1 960,00
JW-03 Беспроводной приемо-передающий комплект для гитары, 2.4ГГц Joyo, шт;;;;;1,000;3 861,00;5 980,00
KB-140S Ручка потенциометра, малая, черная, Hosco, шт;;;;;1,000;35,00;60,00
KPR13 Ручка потенциометра, Paxphil, шт;;;;;3,000;153,00;270,00
KVP4O Колокольчик Валдайский №4, d50, полированный, с ручкой Двуглавый Орел, Валдайские колокольчики, шт;;;;;1,000;720,90;1 150,00
LB-390 Ручка переключателя, черная, Hosco, шт;;;;;3,000;36,00;90,00
LB1 Футляр для медиаторов, кожаный, Мозеръ  , шт;;;;;3,000;173,85;540,00
"LC-3400 Классическая 6-струнная гитара 1/2 34"". Верхняя дека - ламинат ели, задняя дека и обечайки -, шт";;;;;1,000;3 948,00;6 590,00
LED стробоскоп 24 диода (микрофон), шт;;;;;2,000;2 400,00;4 200,00
"LF-3800CT-N Фольковая 6-струнная гитара 38"" с вырезом. Верхняя дека - ламинат, задняя дека и обечайк, шт";;;;;1,000;2 726,25;5 400,00
"LF-3800CT-SB Фольковая 6-струнная гитара 38"" с вырезом. Верхняя дека - ламинат, задняя дека и обечай, шт";;;;;1,000;2 908,00;5 400,00
LH-NECK-01 Заготовка грифа 52мм классической гитары, Homage, шт;;;;;2,000;1 082,00;2 000,00
"LHL6602 Деревянная ложка чайная, роспись ""Матрешка"", Хохлома, шт";;;;;1,000;54,00;100,00
"LHL6802 Ложка чайная ""Краснушка"", Хохлома, шт";;;;;2,000;150,00;260,00
LI-390 Ручка переключателя, кремовая, Hosco, шт;;;;;3,000;36,00;90,00
LJ-15/2P-CR Выходной разъем электрогитары, Paxphil, шт;;;;;1,000;249,00;420,00
LJ-20/2P-CR Выходной разъем электрогитары, хром, Paxphil, шт;;;;;1,000;300,00;510,00
LJ-40 Выходной разъем электрогитары, Paxphil, шт;;;;;1,000;365,00;600,00
LJ-45-CR Выходной разъем электрогитары, хром, Paxphil, шт;;;;;1,000;365,00;600,00
"LM80 Spider beam Светодиодный прожектор смены цвета (колорчэнджер) ""паук"", 8х8Вт, Big Dipper, шт";;;;;1,000;9 929,00;17 300,00
LOD-017A Комплект универсальной хромированной механики 40мм для гитары, шт;;;;;1,000;211,50;360,00
LOD-017A-12 Комплект колковой механики на планке для 12-струнной гитары, Alice, шт;;;;;1,000;401,00;700,00
LOD-017C Комплект колковой механики на планке 40мм Alice, шт;;;;;4,000;1 128,00;1 920,00
LOD-BPS Комплект колковой механики для балалайки прима, Alice, шт;;;;;1,000;172,00;480,00
LR00-06 Чайник LARA (матовый) 4л, индукционное дно 0.3мм, автоподъем ручки, шт;;;;;1,000;1 484,39;2 550,00
LR00-40 Чайник LARA (матовый) 2.5л, индукционное дно, толщина стенок 0.35мм, свисток, шт;;;;;1,000;724,02;1 200,00
LR00-61 Чайник LARA (матовый) 2.1л, индукционное капсулированное дно, нейлоновая ручка Soft Touch, шт;;;;;1,000;1 011,66;1 690,00
LR00-62 Чайник LARA (матовый) 3 л (на упаковке 2,2 литра) индукционное капсул. дно,, шт;;;;;1,000;1 098,02;1 850,00
LR00-65 Чайник LARA (матовый) 2,5 л, индукционное капсулированное дно, нейлон.ручка, шт;;;;;1,000;744,03;1 250,00
LR00-80 SS Чайник LARA (матовый)  3.0л  <Soft-touch> индукц. капс. дно, свисток с кноп. механизмом, шт;;;;;1,000;1 574,72;3 290,00
LR04-02 термос LARA - 1.00л, ручка, кнопка, ремешок, двойные стенки, крышка-стаканчик, нерж сталь, шт;;;;;1,000;985,19;1 650,00
LR04-03 термос LARA - 1.20л, ручка, кнопка, ремешок, двойные стенки, крышка-стаканчик, нерж сталь, шт;;;;;1,000;1 091,68;1 790,00
LR04-06 термос LARA (сталь) - 1000мл, спец пробка, двойные стенки, кнопка, крышка-стаканчик, шт;;;;;3,000;2 435,04;4 140,00
LR04-11 термос LARA (сталь) - 1000 мл, КЛАПАН, двойные стенки, крышка-чашка, шт;;;;;1,000;629,00;1 070,00
LR04-13 термос LARA (черный) - 750 мл, бутылка, двойные стенки  , шт;;;;;1,000;625,22;1 050,00
LR04-16 термос LARA (черный) 1200мл, молотковая эмаль, складные ручки, крышка-стакан, шт;;;;;1,000;996,00;1 650,00
LR04-20 термос LARA (бежевый) 420мл, soft touch, фильтр-ситечко для заваривания, шт;;;;;1,000;689,47;1 100,00
LR04-24 термокружка LARA <Aqua> 380мл, двойные стенки, вакуум, сталь/силикон, шт;;;;;2,000;1 186,00;1 980,00
