;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;s;;;
;;;;;;
, ;;;;;1,000;;
CC313 Переходник (разъем переходной) 6,35мм, штекер, моно - 2х6,35мм, гнезда, Soundking, шт;;;;;2,000;190,00;320,00
CC320 Переходник (разъем переходной) 3,5мм, моно, штекер - 6,35мм, моно, гнездо, Soundking, шт;;;;;5,000;355,00;600,00
CD103-GR Разъем на кабель RCA, штекер, зеленый, Soundking, шт;;;;;1,000;98,00;180,00
CM-15 Кабель инструментальный длина 4,5м, диаметр кабеля 4,8мм, один штекер угловой 6.3мм, второй пр, шт;;;;;2,000;446,00;900,00
CPML-1 Кабель соединит  длиной 30см. Диаметр кабеля 5мм,  два углов, шт;;;;;4,000;312,00;680,00
CPS014 Отдельная струна, сталь, 014, La Bella, шт;;;;;23,000;1 150,00;3 220,00
CPS019 Отдельная струна, сталь, 019, La Bella, шт;;;;;8,000;288,00;720,00
CR-10 Инструментальный кабель длина 3м, диаметр кабеля 5,5мм, два никелированных джека 6.3мм с пружи, шт;;;;;3,000;798,00;1 500,00
CR-15 Инструмент.кабель длина 4.5м, d= кабеля 5,5мм, два никелир. джека 6.3мм с пружинами. LEEM, шт;;;;;2,000;498,00;1 060,00
CX3F001 Разъем на кабель XLR female, Soundking, шт;;;;;5,000;550,00;950,00
CX3M001 Разъем на кабель XLR male, Soundking, шт;;;;;5,000;545,00;950,00
CXA006 Переходник (разъем переходной) XLR штекер - 1/4'' моно штекер, Soundking, шт;;;;;1,000;112,00;190,00
Cелфи-палка с камерой и датчиком движения  L19S( для блогов), шт;;;;;1,000;2 000,00;3 100,00
DA023 Стойка для осветительных приборов, Soundking, шт;;;;;1,000;3 500,00;5 800,00
"DB-01 Тренировочный пэд со стойкой, диаметр 7"", Dadi, шт";;;;;1,000;2 053,00;5 200,00
DB012W Стойка для акустической системы, нагрузка 50кг, Soundking, шт;;;;;4,000;7 884,00;19 800,00
"DCP06J MXR Коммутационный кабель ""патч"", 15см, Dunlop, шт";;;;;1,000;564,00;960,00
DD037B Микрофонная стойка настольная, черная, Soundking, шт;;;;;2,000;638,00;1 140,00
DD040B Микрофонная стойка настольная, прямая, черная, Soundking, шт;;;;;1,000;264,00;450,00
"DE018 Адаптер для микрофонного держателя ""грибок"", 5/8 - 3/8, Soundking, шт";;;;;2,000;104,00;180,00
DF-Medium Disco Fog Medium Жидкость для генераторов дыма, Синтез аудио, шт;;;;;1,000;776,00;1 320,00
DG041 Стойка для гитары, Soundking, шт;;;;;1,000;650,00;1 150,00
"DHB14 Пластик для барабанов 14"", черный, Dadi, шт";;;;;5,000;1 310,00;2 250,00
"DHT16 Пластик для барабана 16"", прозрачный, Dadi, шт";;;;;2,000;606,00;1 100,00
"DHW14 Пластик для барабанов 14"", белый американский пластик Dupont. DADI, шт";;;;;1,000;233,00;430,00
djb-1 Подставка для акустической гитары, палисандр, Doff, шт;;;;;2,000;912,00;2 300,00
DJR1030 Reserve Трости для саксофона альт, размер 3.0, 10шт., Rico, шт;;;;;5,000;832,85;2 100,00
DK4 Ключ для гитары/барабана (квадрат) DADI, шт;;;;;8,000;496,00;960,00
DM-300 Микрофон динамический для вокалистов проводной, диапазон 70Hz-10kHz, Operation Principle - Mo, шт;;;;;1,000;714,00;1 350,00
DM-302 Микрофон динамический для вокалистов проводной Leem, шт;;;;;1,000;1 089,00;1 850,00
Driver-ABS12AL Драйвер ВЧ 8 Ом,  Leem, шт;;;;;1,000;1 121,00;1 900,00
Driver-ABS15AL Драйвер ВЧ 8 Ом,  Leem, шт;;;;;1,000;1 361,00;2 500,00
Driver-SPA12 Драйвер ВЧ компрессионный, Leem, шт;;;;;1,000;786,00;1 350,00
"DRP12GY Тренировочный пэд 12"", Arborea, шт";;;;;1,000;701,00;1 190,00
E14-XLR-M-F-0100-0 Кабель микрофонный 1м, ZZcable, шт;;;;;2,000;732,00;1 300,00
E6-XLR-M-JB-0500-0 Кабель мониторный XLR-M-JB, 5м, ZZcable, шт;;;;;1,000;1 001,00;1 700,00
ECB070 Ручка потенциометра, большая, для педалей MXR, Dunlop, шт;;;;;2,000;320,00;800,00
ECB071 Ручка потенциометра, малая, для педалей MXR, Dunlop, шт;;;;;1,000;90,00;230,00
ECB130 Ручка потенциометра, большая, для педалей MXR, Dunlop, шт;;;;;3,000;540,00;1 350,00
EG5W/EG5W/EG4W(S-S-H) Комплект звукоснимателей S-S-H, Cort, шт;;;;;1,000;825,30;2 080,00
EG5W/EG5W/EG4W(S-S-S) Комплект звукоснимателей S-S-S, Cort, шт;;;;;1,000;825,30;2 080,00
EH040 Микрофон динамический, Soundking, шт;;;;;1,000;1 060,50;2 100,00
EJ27H  CLASSIC Струны для классической гитары нейлоновые Student Hard D`Addario, шт;;;;;3,000;1 809,00;3 270,00
Ergolux INC-C35-60W-E14-CL (Эл.лампа накал.с прозрач, свеча, ДС 230-60-1 elx), шт;;;;;1,000;16,25;30,00
ERNIE BALL 2245 - струны для эл.гитары Stainless Steel Power Slinky (11-14-18p-28-38-48), шт;;;;;1,000;500,00;850,00
ERNIE BALL 4277 - средство для чистки струн (салфетки), шт;;;;;1,000;160,00;270,00
EVHR03 EVH White With Black Stripes Медиаторы 24шт, толщина 0.60мм, Dunlop, шт;;;;;2,000;194,84;330,00
EXL115 Nickel Wound Комплект струн для эл/гитарыMedium, 11-49, шт;;;;;2,000;1 388,00;2 360,00
EXL115BT Nickel Wound Комплект струн для эл/гитарыMedium, 11-50, шт;;;;;3,000;1 509,75;2 610,00
EXL130 XL NICKEL WOUND Струны для электрогитары Extra Super Light 8-38 D`Addario, шт;;;;;1,000;694,00;1 180,00
EZ910 AMERICAN BRONZE 85/15 Струны для акустической гитары Light, 11-52 D`Addario, шт;;;;;1,000;457,00;850,00
EZ920 AMERICAN BRONZE 85/15 Струны для акустической гитары Medium Light 12-54 D`Addario, шт;;;;;3,000;1 566,00;2 850,00
F-гнездо на плату , шт;;;;;2,000;20,00;40,00
F-штекер,на каб RG6 с резиновой прокладкой, шт;;;;;144,000;835,20;2 880,00
F-штекер,на каб RG6U  APP-306-ZB3, шт;;;;;39,000;97,50;390,00
FA-12-GR Тренажер для пальцев, серый, Flanger, шт;;;;;2,000;729,00;1 240,00
"FDH-188GD-14 Пластик для малого и том барабана 14"", золотистый, Foix, шт";;;;;1,000;206,00;350,00
